codigo;descricao;unidade_medida;custo;descricao_nbr;codigo_nbr
11270;"ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM";UN;"3,36";"Latões
Volumes
Fixação
";"0M 20 20 05 01 00 00
0P 50 50 00 00 00 00
1S 70 35 06 00 00 00
"
38605;ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL;UN;"158,32";"Elementos de aberturas
";"3E 20 00 00 00 00 00
"
412;"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM";UN;"0,87";"Dimensões de Área
Fixação
Fibras sintéticas
";"0P 50 40 00 00 00 00
1S 70 35 06 00 00 00
2C 92 06 06 00 00 00
"
414;"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM";UN;"0,05";"Dimensões de Área
Fixação
Fibras sintéticas
";"0P 50 40 00 00 00 00
1S 70 35 06 00 00 00
2C 92 06 06 00 00 00
"
410;"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM";UN;"0,13";"Dimensões de Área
Fixação
Fibras sintéticas
";"0P 50 40 00 00 00 00
1S 70 35 06 00 00 00
2C 92 06 06 00 00 00
"
411;"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM";UN;"0,17";"Dimensões de Área
Fixação
Fibras sintéticas
";"0P 50 40 00 00 00 00
1S 70 35 06 00 00 00
2C 92 06 06 00 00 00
"
408;"ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM";UN;"0,84";"Dimensões de Área
Fixação
Fibras sintéticas
";"0P 50 40 00 00 00 00
1S 70 35 06 00 00 00
2C 92 06 06 00 00 00
"
39131;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO";UN;"4,64";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
394;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO";UN;"4,7";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39130;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO";UN;"4,24";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
395;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO";UN;"4,53";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39127;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO";UN;"2,23";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
392;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO";UN;"2,29";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39129;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO";UN;"2,61";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
393;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO";UN;"2,73";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39133;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO";UN;"6,09";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
397;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO";UN;"6,73";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39132;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO";UN;"4,87";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
396;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO";UN;"5,22";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39135;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO";UN;"9,75";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39128;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO";UN;"2,43";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
400;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO";UN;"2,38";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39125;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO";UN;"2,43";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39134;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO";UN;"8,13";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
398;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO";UN;"7,49";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39126;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO";UN;"10,97";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
399;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO";UN;"9,67";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39158;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""";UN;"25,96";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39141;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""";UN;"1,88";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39140;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""";UN;"1,71";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39137;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""";UN;"0,98";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39139;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""";UN;"1,42";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
